ticker,rows,first_date,last_date,universe_source,status,RIC,price_obs,price_first,price_last,esg_first_date,esg_last_date,esg_obs,esg_first_year,esg_last_year,E_nonnull,S_nonnull,G_nonnull,first_year_with_lagged_esg,eligibility_status,price_method,esg_complete,final_status,exclusion_reason
CDNS,564406,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CDNS.O,2640,2009-01-02,2019-06-28,2009-01-03,2018-12-29,11,2009.0,2018.0,11,11,11,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CELG,1895372,19960206,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CELG.B^J07,0,,,2009-12-31,2017-12-31,9,2009.0,2017.0,9,9,9,2010.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
CERN,766973,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CERN.B^J07,0,,,2010-01-02,2019-12-28,11,2010.0,2019.0,11,11,11,2011.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
CF,1930823,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CF,2640,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CFG,85622,20141002,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CFG,1199,2014-09-24,2019-06-28,2013-12-31,2018-12-31,6,2013.0,2018.0,5,5,5,2014.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CHD,281967,20020610,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CHD,2640,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CHK,1272185,19960108,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CHK.PH^B09,0,,,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
CHRW,758487,19980302,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CHRW.O,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CHTR,1289170,20110727,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CHTR.O,2384,2009-12-02,2019-06-28,2011-12-31,2019-12-31,9,2011.0,2019.0,9,9,9,2012.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CI,1248713,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CI,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,9,9,9,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CINF,284942,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CINF.O,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CL,1490399,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CL,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CLX,892826,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CLX,2640,2009-01-02,2019-06-28,2009-06-30,2018-06-30,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CMA,800244,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CMA.B^J07,0,,,2008-12-31,2017-12-31,10,2008.0,2017.0,10,10,10,2009.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
CMCSA,1459915,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CMCSA.O,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CME,2191016,20031118,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CME.O,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CMG,3572867,20060203,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CMG,2640,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CMI,1850575,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CMI,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CMS,331393,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CMS,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CNC,499191,20041115,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CNC,2640,2009-01-02,2019-06-28,2013-12-31,2018-12-31,6,2013.0,2018.0,5,5,5,2014.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
CNP,461994,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,CNP,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
COF,1729768,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,COF,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
COG,842161,19980901,20190628,raw_options,PENDING_LSEG_RECONCILIATION,COG.B^J07,0,,,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,CHECK,UNRESOLVED_RIC,True,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
COL,383165,20010702,20181126,raw_options,PENDING_LSEG_RECONCILIATION,OCL9SAJ8-J8,0,,,,,0,,,0,0,0,,CHECK,UNRESOLVED_RIC,False,UNRESOLVED_PRICE,Mapped/historical RIC returned no TRDPRC_1 in 2009-2019 audit; corporate-action successor resolution required
COO,631498,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,COO.O,2640,2009-01-02,2019-06-28,2009-10-31,2018-10-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
COP,1731808,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,COP,2640,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,2009.0,2018.0,10,10,10,2010.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
COST,1801021,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION,COST.O,2640,2009-01-02,2019-06-28,2010-08-29,2019-09-01,10,2010.0,2019.0,10,10,10,2011.0,DIRECT_PRICE_ESG_OPTION,INITIAL_LSEG_RIC_TRDPRC_1,True,ELIGIBLE_PRELIM,
