ticker,RIC,status,notes,TR.RIC,TR.CommonName,TR.ExchangeName,TR.TickerSymbol,TR.ISIN,TR.IssuerOAPermID
CDNS,CDNS.O,REFERENCE_OK,,,,,,,
CELG,CELG.B^J07,REFERENCE_OK,,,,,,,
CERN,CERN.B^J07,REFERENCE_OK,,,,,,,
CF,CF,REFERENCE_OK,,,,,,,
CFG,CFG,REFERENCE_OK,,,,,,,
CHD,CHD,REFERENCE_OK,,,,,,,
CHK,CHK.PH^B09,REFERENCE_OK,,,,,,,
CHRW,CHRW.O,REFERENCE_OK,,,,,,,
CHTR,CHTR.O,REFERENCE_OK,,,,,,,
CI,CI,REFERENCE_OK,,,,,,,
CINF,CINF.O,REFERENCE_OK,,,,,,,
CL,CL,REFERENCE_OK,,,,,,,
CLX,CLX,REFERENCE_OK,,,,,,,
CMA,CMA.B^J07,REFERENCE_OK,,,,,,,
CMCSA,CMCSA.O,REFERENCE_OK,,,,,,,
CME,CME.O,REFERENCE_OK,,,,,,,
CMG,CMG,REFERENCE_OK,,,,,,,
CMI,CMI,REFERENCE_OK,,,,,,,
CMS,CMS,REFERENCE_OK,,,,,,,
CNC,CNC,REFERENCE_OK,,,,,,,
CNP,CNP,REFERENCE_OK,,,,,,,
COF,COF,REFERENCE_OK,,,,,,,
COG,COG.B^J07,REFERENCE_OK,,,,,,,
COL,OCL9SAJ8-J8,REFERENCE_OK,,,,,,,
COO,COO.O,REFERENCE_OK,,,,,,,
COP,COP,REFERENCE_OK,,,,,,,
COST,COST.O,REFERENCE_OK,,,,,,,
COTY,COTY.K,REFERENCE_OK,,,,,,,
CPB,CPB.O,REFERENCE_OK,,,,,,,
CRM,CRM,REFERENCE_OK,,,,,,,
CSCO,CSCO.O,REFERENCE_OK,,,,,,,
CSRA,CSRA.K,REFERENCE_OK,,,,,,,
CSX,CSX.O,REFERENCE_OK,,,,,,,
CTAS,CTAS.O,REFERENCE_OK,,,,,,,
CTL,CTL.W^E14,REFERENCE_OK,,,,,,,
CTSH,CTSH.O,REFERENCE_OK,,,,,,,
CTXS,CTXS.B^J07,REFERENCE_OK,,,,,,,
CVS,CVS,REFERENCE_OK,,,,,,,
CVX,CVX,REFERENCE_OK,,,,,,,
CXO,CXO.PH^B09,REFERENCE_OK,,,,,,,
D,D,REFERENCE_OK,,,,,,,
DAL,DAL,REFERENCE_OK,,,,,,,
DE,DE,REFERENCE_OK,,,,,,,
DFS,DFS.B^J07,REFERENCE_OK,,,,,,,
DG,DG,REFERENCE_OK,,,,,,,
DGX,DGX,REFERENCE_OK,,,,,,,
DHI,DHI,REFERENCE_OK,,,,,,,
DHR,DHR,REFERENCE_OK,,,,,,,
DIS,DIS,REFERENCE_OK,,,,,,,
DISCA,DISCA.B^J07,REFERENCE_OK,,,,,,,
DISCK,DISCK.A^H14,REFERENCE_OK,,,,,,,
DISH,DISH.B^J07,REFERENCE_OK,,,,,,,
DLR,DLR,REFERENCE_OK,,,,,,,
DLTR,DLTR.O,REFERENCE_OK,,,,,,,
DOV,DOV,REFERENCE_OK,,,,,,,
DRE,DRE.PH^B09,REFERENCE_OK,,,,,,,
DRI,DRI,REFERENCE_OK,,,,,,,
DTE,DTE,REFERENCE_OK,,,,,,,
DUK,DUK,REFERENCE_OK,,,,,,,
DVA,DVA,REFERENCE_OK,,,,,,,
DVN,DVN,REFERENCE_OK,,,,,,,
DXC,DXC,REFERENCE_OK,,,,,,,
EA,EA.W^E14,REFERENCE_OK,,,,,,,
EBAY,EBAY.O,REFERENCE_OK,,,,,,,
ECL,ECL,REFERENCE_OK,,,,,,,
ED,ED,REFERENCE_OK,,,,,,,
EFX,EFX,REFERENCE_OK,,,,,,,
EIX,EIX,REFERENCE_OK,,,,,,,
EL,EL,REFERENCE_OK,,,,,,,
EMN,EMN,REFERENCE_OK,,,,,,,
EMR,EMR,REFERENCE_OK,,,,,,,
EOG,EOG,REFERENCE_OK,,,,,,,
EQIX,EQIX.O,REFERENCE_OK,,,,,,,
EQR,EQR.PH^B09,REFERENCE_OK,,,,,,,
EQT,EQT,REFERENCE_OK,,,,,,,
ES,ESc1,REFERENCE_OK,,,,,,,
ESRX,ESRX.B^J07,REFERENCE_OK,,,,,,,
ESS,ESS,REFERENCE_OK,,,,,,,
ETFC,ETFC.B^J07,REFERENCE_OK,,,,,,,
ETN,ETN,REFERENCE_OK,,,,,,,
ETR,ETR,REFERENCE_OK,,,,,,,
EVHC,EVHC.W^E14,REFERENCE_OK,,,,,,,
EW,EW,REFERENCE_OK,,,,,,,
EXC,EXC.O,REFERENCE_OK,,,,,,,
EXPD,EXPD.K,REFERENCE_OK,,,,,,,
EXPE,EXPE.O,REFERENCE_OK,,,,,,,
EXR,EXR,REFERENCE_OK,,,,,,,
F,F,REFERENCE_OK,,,,,,,
FAST,FAST.O,REFERENCE_OK,,,,,,,
FB,FB,REFERENCE_OK,,,,,,,
FBHS,FBHS.W^E14,REFERENCE_OK,,,,,,,
FCX,FCX,REFERENCE_OK,,,,,,,
FDX,FDX,REFERENCE_OK,,,,,,,
FE,FE,REFERENCE_OK,,,,,,,
FFIV,FFIV.O,REFERENCE_OK,,,,,,,
FIS,FIS,REFERENCE_OK,,,,,,,
FISV,FISV.O,REFERENCE_OK,,,,,,,
FITB,FITB.K,REFERENCE_OK,,,,,,,
FL,FLc1,REFERENCE_OK,,,,,,,
FLIR,FLIR.B^J07,REFERENCE_OK,,,,,,,
FLR,FLR,REFERENCE_OK,,,,,,,
FLS,FLS,REFERENCE_OK,,,,,,,
FMC,FMC,REFERENCE_OK,,,,,,,
FOXA,FOXA.O,REFERENCE_OK,,,,,,,
FRT,FRT,REFERENCE_OK,,,,,,,
FTI,FTI,REFERENCE_OK,,,,,,,
FTV,FTV,REFERENCE_OK,,,,,,,
GD,GD,REFERENCE_OK,,,,,,,
GE,GE,REFERENCE_OK,,,,,,,
GILD,GILD.O,REFERENCE_OK,,,,,,,
GIS,GIS,REFERENCE_OK,,,,,,,
GLW,GLW,REFERENCE_OK,,,,,,,
GM,GM,REFERENCE_OK,,,,,,,
GOOG,GOOG.O,REFERENCE_OK,,,,,,,
GOOGL,GOOGL.O,REFERENCE_OK,,,,,,,
GPC,GPC,REFERENCE_OK,,,,,,,
GPN,GPN,REFERENCE_OK,,,,,,,
GPS,1GPSZ1m,REFERENCE_OK,,,,,,,
GRMN,GRMN.K,REFERENCE_OK,,,,,,,
GS,GS,REFERENCE_OK,,,,,,,
GT,GT.O,REFERENCE_OK,,,,,,,
GWW,GWW,REFERENCE_OK,,,,,,,
HAL,HAL,REFERENCE_OK,,,,,,,
HAS,HAS.O,REFERENCE_OK,,,,,,,
HBAN,HBAN.O,REFERENCE_OK,,,,,,,
HBI,01HIBQ5,REFERENCE_OK,,,,,,,
HCA,HCA,REFERENCE_OK,,,,,,,
HCP,HCP.B^J07,REFERENCE_OK,,,,,,,
HD,HD,REFERENCE_OK,,,,,,,
HES,HES.PH^B09,REFERENCE_OK,,,,,,,
HIG,HIG,REFERENCE_OK,,,,,,,
HII,HII,REFERENCE_OK,,,,,,,
HLT,HLT,REFERENCE_OK,,,,,,,
HOG,HOG,REFERENCE_OK,,,,,,,
HOLX,HOLX.B^J07,REFERENCE_OK,,,,,,,
HON,HON.O,REFERENCE_OK,,,,,,,
HP,HP,REFERENCE_OK,,,,,,,
HPE,HPE,REFERENCE_OK,,,,,,,
HPQ,HPQ,REFERENCE_OK,,,,,,,
HRB,HRB,REFERENCE_OK,,,,,,,
HRL,HRL,REFERENCE_OK,,,,,,,
HSIC,HSIC.O,REFERENCE_OK,,,,,,,
HST,HST.O,REFERENCE_OK,,,,,,,
HSY,HSY,REFERENCE_OK,,,,,,,
HUM,HUM,REFERENCE_OK,,,,,,,
IBM,IBM,REFERENCE_OK,,,,,,,
ICE,ICE,REFERENCE_OK,,,,,,,
IDXX,IDXX.O,REFERENCE_OK,,,,,,,
IFF,IFF,REFERENCE_OK,,,,,,,
ILMN,ILMN.O,REFERENCE_OK,,,,,,,
INCY,INCY.O,REFERENCE_OK,,,,,,,
INFO,INFO.K,REFERENCE_OK,,,,,,,
INTC,INTC.O,REFERENCE_OK,,,,,,,
INTU,INTU.O,REFERENCE_OK,,,,,,,
IP,IP,REFERENCE_OK,,,,,,,
IPG,IPG.PH^B09,REFERENCE_OK,,,,,,,
IPGP,IPGP.O,REFERENCE_OK,,,,,,,
IQV,IQV,REFERENCE_OK,,,,,,,
IR,IR,REFERENCE_OK,,,,,,,
IRM,IRM,REFERENCE_OK,,,,,,,
ISRG,ISRG.O,REFERENCE_OK,,,,,,,
IT,IT,REFERENCE_OK,,,,,,,
ITW,ITW,REFERENCE_OK,,,,,,,
IVZ,IVZ,REFERENCE_OK,,,,,,,
JBHT,JBHT.O,REFERENCE_OK,,,,,,,
JCI,JCI,REFERENCE_OK,,,,,,,
JEC,JEC.B^J07,REFERENCE_OK,,,,,,,
JEF,JEF,REFERENCE_OK,,,,,,,
JNJ,JNJ,REFERENCE_OK,,,,,,,
JNPR,JNPR.W^E14,REFERENCE_OK,,,,,,,
JPM,JPM,REFERENCE_OK,,,,,,,
JWN,JWN.PH^B09,REFERENCE_OK,,,,,,,
K,K.B^J07,REFERENCE_OK,,,,,,,
KEY,KEY,REFERENCE_OK,,,,,,,
KHC,KHC.O,REFERENCE_OK,,,,,,,
KIM,KIM,REFERENCE_OK,,,,,,,
KLAC,KLAC.O,REFERENCE_OK,,,,,,,
KMB,KMB.O,REFERENCE_OK,,,,,,,
KMI,KMI,REFERENCE_OK,,,,,,,
KMX,KMX,REFERENCE_OK,,,,,,,
KO,KO,REFERENCE_OK,,,,,,,
KR,KR,REFERENCE_OK,,,,,,,
KSS,KSS,REFERENCE_OK,,,,,,,
KSU,KSU.B^J07,REFERENCE_OK,,,,,,,
L,L,REFERENCE_OK,,,,,,,
LB,LB,REFERENCE_OK,,,,,,,
LEG,LEG.PH^B09,REFERENCE_OK,,,,,,,
LEN,LEN,REFERENCE_OK,,,,,,,
LH,LH,REFERENCE_OK,,,,,,,
LKQ,LKQ.O,REFERENCE_OK,,,,,,,
LLY,LLY,REFERENCE_OK,,,,,,,
LMT,LMT,REFERENCE_OK,,,,,,,
LNC,LNC,REFERENCE_OK,,,,,,,
LNT,LNT.O,REFERENCE_OK,,,,,,,
LOW,LOW,REFERENCE_OK,,,,,,,
LRCX,LRCX.O,REFERENCE_OK,,,,,,,
LUV,LUV,REFERENCE_OK,,,,,,,
LYB,LYB,REFERENCE_OK,,,,,,,
MA,MA,REFERENCE_OK,,,,,,,
MAA,MAA,REFERENCE_OK,,,,,,,
MAC,MAC,REFERENCE_OK,,,,,,,
MAR,MAR.O,REFERENCE_OK,,,,,,,
MAS,MAS,REFERENCE_OK,,,,,,,
MAT,MAT.O,REFERENCE_OK,,,,,,,
MCD,MCD,REFERENCE_OK,,,,,,,
MCHP,MCHP.O,REFERENCE_OK,,,,,,,
MCK,MCK,REFERENCE_OK,,,,,,,
MCO,MCO,REFERENCE_OK,,,,,,,
MDLZ,MDLZ.O,REFERENCE_OK,,,,,,,
MDT,MDT,REFERENCE_OK,,,,,,,
MET,MET,REFERENCE_OK,,,,,,,
MGM,MGM,REFERENCE_OK,,,,,,,
MHK,MHK,REFERENCE_OK,,,,,,,
MKC,MKC,REFERENCE_OK,,,,,,,
MLM,MLM,REFERENCE_OK,,,,,,,
MMC,0#MCM:,REFERENCE_OK,,,,,,,
MMM,MMM,REFERENCE_OK,,,,,,,
MNST,MNST.O,REFERENCE_OK,,,,,,,
MO,MO,REFERENCE_OK,,,,,,,
MON,MON.PH^B09,REFERENCE_OK,,,,,,,
MOS,MOS,REFERENCE_OK,,,,,,,
MPC,MPC,REFERENCE_OK,,,,,,,
MRK,MRK,REFERENCE_OK,,,,,,,
MRO,MRO.PH^B09,REFERENCE_OK,,,,,,,
MS,MS,REFERENCE_OK,,,,,,,
MSFT,MSFT.O,REFERENCE_OK,,,,,,,
MSI,MSI,REFERENCE_OK,,,,,,,
MTB,MTB,REFERENCE_OK,,,,,,,
MTD,MTD,REFERENCE_OK,,,,,,,
MU,MU.O,REFERENCE_OK,,,,,,,
MYL,MYL.TH^L08,REFERENCE_OK,,,,,,,
NAVI,NAVI.O,REFERENCE_OK,,,,,,,
NBL,NBL.PH^B09,REFERENCE_OK,,,,,,,
NCLH,NCLH.K,REFERENCE_OK,,,,,,,
NDAQ,NDAQ.O,REFERENCE_OK,,,,,,,
