ticker,rows,first_date,last_date,RIC,price_first,price_last,esg_first_date,esg_last_date,esg_obs,E_nonnull,S_nonnull,G_nonnull,first_year_with_lagged_esg,option_first,option_last,backtest_start,backtest_end,eligibility
CDNS,564406,19960104,20190628,CDNS.O,2009-01-02,2019-06-28,2009-01-03,2018-12-29,11,11,11,11,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CF,1930823,19960104,20190628,CF,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
CFG,85622,20141002,20190628,CFG,2014-09-24,2019-06-28,2013-12-31,2018-12-31,6,5,5,5,2014.0,2014-10-02,2019-06-28,2014-10-02,2019-06-28,ELIGIBLE_345
CHD,281967,20020610,20190628,CHD,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,2002-06-10,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
CHRW,758487,19980302,20190628,CHRW.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1998-03-02,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CHTR,1289170,20110727,20190628,CHTR.O,2009-12-02,2019-06-28,2011-12-31,2019-12-31,9,9,9,9,2012.0,2011-07-27,2019-06-28,2012-01-01,2019-06-28,ELIGIBLE_345
CI,1248713,19960104,20190628,CI,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,9,9,9,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CINF,284942,19960104,20190628,CINF.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CL,1490399,19960104,20190628,CL,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CLX,892826,19960104,20190628,CLX,2009-01-02,2019-06-28,2009-06-30,2018-06-30,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CMCSA,1459915,19960104,20190628,CMCSA.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CME,2191016,20031118,20190628,CME.O,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2003-11-18,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CMG,3572867,20060203,20190628,CMG,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,2006-02-03,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
CMI,1850575,19960104,20190628,CMI,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CMS,331393,19960104,20190628,CMS,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CNC,499191,20041115,20190628,CNC,2009-01-02,2019-06-28,2013-12-31,2018-12-31,6,5,5,5,2014.0,2004-11-15,2019-06-28,2014-01-01,2019-06-28,ELIGIBLE_345
CNP,461994,19960104,20190628,CNP,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
COF,1729768,19960104,20190628,COF,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
COO,631498,19960104,20190628,COO.O,2009-01-02,2019-06-28,2009-10-31,2018-10-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
COP,1731808,19960104,20190628,COP,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
COST,1801021,19960104,20190628,COST.O,2009-01-02,2019-06-28,2010-08-29,2019-09-01,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
COTY,516880,20130621,20190628,COTY.K,2013-06-13,2019-06-28,2014-12-31,2018-06-30,5,4,4,4,2015.0,2013-06-21,2019-06-28,2015-01-01,2019-06-28,ELIGIBLE_345
CPB,875531,19960104,20190628,CPB.O,2009-01-02,2019-06-28,2009-08-02,2018-07-29,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CRM,1851284,20040722,20190628,CRM,2009-01-02,2019-06-28,2009-01-31,2018-01-31,10,10,10,10,2010.0,2004-07-22,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CSCO,1955376,19960104,20190628,CSCO.O,2009-01-02,2019-06-28,2009-07-25,2018-07-28,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CSX,1033757,19960104,20190628,CSX.O,2009-01-02,2019-06-28,2009-12-25,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CTAS,487638,19960104,20190628,CTAS.O,2009-01-02,2019-06-28,2009-05-31,2018-05-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CTL,920534,19960104,20190628,CTL.W^E14,2009-01-05,2014-04-25,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
CTSH,1502634,20020408,20190628,CTSH.O,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,2002-04-08,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
CVS,1641485,19960104,20190628,CVS,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
CVX,1891349,19960104,20190628,CVX,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
D,633668,19960104,20190628,D,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
DAL,1306590,20070504,20190628,DAL,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,2007-05-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
DE,1778482,19960104,20190628,DE,2009-01-02,2019-06-28,2009-10-31,2018-10-28,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
DG,1418128,19960104,20190628,DG,2009-11-13,2019-06-28,2008-12-31,2017-02-03,10,9,9,9,2009.0,1996-01-04,2019-06-28,2009-11-13,2019-06-28,ELIGIBLE_345
DGX,603442,19970122,20190628,DGX,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1997-01-22,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
DHI,1451543,19970312,20190628,DHI,2009-01-02,2019-06-28,2009-09-30,2018-09-30,10,10,10,10,2010.0,1997-03-12,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
DHR,850508,19960104,20190628,DHR,2009-01-02,2019-06-28,2010-12-31,2019-12-31,10,10,10,10,2011.0,1996-01-04,2019-06-28,2011-01-01,2019-06-28,ELIGIBLE_345
DIS,1839342,19960104,20190628,DIS,2009-01-02,2019-06-28,2009-10-03,2018-09-29,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
DISCK,204264,20090828,20190628,DISCK.A^H14,2010-07-15,2014-07-31,2009-12-31,2018-12-31,10,10,10,10,2010.0,2009-08-28,2019-06-28,2010-07-15,2019-06-28,ELIGIBLE_345
DLR,361457,20061127,20190628,DLR,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,2006-11-27,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
DLTR,1176543,19961023,20190628,DLTR.O,2009-01-02,2019-06-28,2009-01-31,2018-02-03,10,10,10,10,2010.0,1996-10-23,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
DOV,605958,19960104,20190628,DOV,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
DRI,748302,19960104,20190628,DRI,2009-01-02,2019-06-28,2009-05-31,2018-05-27,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
DTE,382607,19960104,20190628,DTE,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
DUK,757776,19960104,20190628,DUK,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
DVA,555326,19971029,20190628,DVA,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1997-10-29,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
DVN,1529374,19960509,20190628,DVN,2009-01-02,2019-06-28,2009-12-31,2018-12-31,10,10,10,10,2010.0,1996-05-09,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
DXC,900013,19960104,20190628,DXC,2009-01-02,2019-06-28,2009-04-03,2018-03-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
EA,1791643,19960104,20190628,EA.W^E14,2009-01-02,2014-04-29,2009-03-31,2018-03-31,10,10,10,10,2010.0,1996-01-04,2019-06-28,2010-01-01,2019-06-28,ELIGIBLE_345
