ticker,RIC,esg_lag_year,option_first,first_252_return_date,esg_date,oos_start
CDNS,CDNS.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
CF,CF,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
CFG,CFG,2014.0,2014-10-02,2015-10-05,2014-01-01,2015-10-05
CHD,CHD,2011.0,2002-06-10,2010-01-12,2011-01-01,2011-01-01
CHRW,CHRW.O,2010.0,1998-03-02,2010-01-12,2010-01-01,2010-01-12
CHTR,CHTR.O,2012.0,2011-07-27,2011-02-08,2012-01-01,2012-01-01
CI,CI,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
CINF,CINF.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
CL,CL,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
CLX,CLX,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
CMCSA,CMCSA.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
CME,CME.O,2010.0,2003-11-18,2010-01-12,2010-01-01,2010-01-12
CMG,CMG,2011.0,2006-02-03,2010-01-12,2011-01-01,2011-01-01
CMI,CMI,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
CMS,CMS,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
CNC,CNC,2014.0,2004-11-15,2010-01-12,2014-01-01,2014-01-01
CNP,CNP,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
COF,COF,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
COO,COO.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
COP,COP,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
COST,COST.O,2011.0,1996-01-04,2010-01-12,2011-01-01,2011-01-01
COTY,COTY.K,2015.0,2013-06-21,2014-06-23,2015-01-01,2015-01-01
CPB,CPB.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
CRM,CRM,2010.0,2004-07-22,2010-01-12,2010-01-01,2010-01-12
CSCO,CSCO.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
CSX,CSX.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
CTAS,CTAS.O,2010.0,1996-01-04,2010-01-12,2010-01-01,2010-01-12
