ticker,input_ric,instrument_id,organization_id,historical_rics,status,notes
CDNS,CDNS.O,8590924408,,CDN.N;CDNS.OQ,OK,
CELG,CELG.B^J07,8590941448,,CELG.OQ,OK,
CERN,CERN.B^J07,8590937215,,CERN.OQ,OK,
CF,CF,8590932260,,CF.N,OK,
CFG,CFG,21519861835,,IPO-CFG.N;CFG.N,OK,
CHD,CHD,8590943794,,CHD.N,OK,
CHK,CHK.PH^B09,8590933380,,0HWL.L,OK,
CHRW,CHRW.O,8590933299,,CHRW.OQ;CHRWD.OQ,OK,
CHTR,CHTR.O,21478822935,,CHTR.OQ,OK,
CI,CI,8590926501,,CI.N,OK,
CINF,CINF.O,8590939521,,CINF.OQ,OK,
CL,CL,8590926557,,CL.N,OK,
CLX,CLX,8590932077,,CLX.N,OK,
CMA,CMA.B^J07,8590920443,,CMA.N,OK,
CMCSA,CMCSA.O,8590935592,,CMCSA.OQ,OK,
CME,CME.O,8590932391,,CME.N;CME.OQ,OK,
CMG,CMG,8590932703,,CMG.N,OK,
CMI,CMI,8590942323,,CUM.N;CMI.N,OK,
CMS,CMS,8590942673,,CMS.N,OK,
CNC,CNC,8590939728,,CNTE.OQ;CNC.N,OK,
CNP,CNP,8590924211,,CNP.N,OK,
COF,COF,8590924744,,COF.N,OK,
COG,COG.B^J07,8590933415,,COG.N,OK,
COL,OCL9SAJ8-J8,21835830431,,,OK,
COO,COO.O,8590926965,,COO.N,OK,
COP,COP,8590935634,,COP.N,OK,
COST,COST.O,8590926423,,COST.OQ,OK,
COTY,COTY.K,21524347433,,COTY.N,OK,
CPB,CPB.O,8590938673,,CPB.N,OK,
CRM,CRM,8590926819,,CRM.N,OK,
CSCO,CSCO.O,8590925492,,CSCO.OQ,OK,
CSRA,CSRA.K,18040307495,,,OK,
CSX,CSX.O,8590928878,,CSX.N;CSX.OQ,OK,
CTAS,CTAS.O,8590938962,,CTAS.OQ,OK,
CTL,CTL.W^E14,8590940462,,CTL.N,OK,
CTSH,CTSH.O,8590933508,,CTSH.OQ,OK,
CTXS,CTXS.B^J07,8590935723,,CTXS.OQ,OK,
CVS,CVS,8590932192,,CVS.N,OK,
CVX,CVX,8590937481,,CVX.N,OK,
CXO,CXO.PH^B09,8590927082,,CXO.N,OK,
D,D,8590941608,,D.N,OK,
DAL,DAL,8590930210,,DAL_w.N;DAL.N,OK,
DE,DE,8590943048,,DE.N,OK,
DFS,DFS.B^J07,8590936065,,DFS_w.N;DFS.N,OK,
DG,DG,8591366262,,DG.N,OK,
DGX,DGX,8590930929,,DGX.N,OK,
DHI,DHI,8590933248,,DHI.N,OK,
DHR,DHR,8590920087,,DHR.N,OK,
DIS,DIS,8590927799,,DIS.N,OK,
DISCA,DISCA.B^J07,8590931373,,DISCA.OQ;DISAD.OQ,OK,
DISCK,DISCK.A^H14,8591051510,,DISCK.OQ,OK,
DISH,DISH.B^J07,8590922883,,DISH.OQ,OK,
DLR,DLR,8590925941,,DLR.N,OK,
DLTR,DLTR.O,8590929461,,DLTR.OQ,OK,
DOV,DOV,8590920021,,DOV.N,OK,
DRE,DRE.PH^B09,8590943312,,DRE.N,OK,
DRI,DRI,8590930614,,DRI.N,OK,
DTE,DTE,8590940641,,DTE.N,OK,
DUK,DUK,8590930773,,DUK.N,OK,
DVA,DVA,8590932921,,DVA.N,OK,
DVN,DVN,8590922082,,DVN.A;DVN.N,OK,
DXC,DXC,8590943332,,CSC.N;DXC.N,OK,
EA,EA.W^E14,8590925359,,ERTS.OQ;EA.OQ,OK,
EBAY,EBAY.O,8590919920,,EBAY.OQ,OK,
ECL,ECL,8590937744,,ECL.N,OK,
ED,ED,8590926534,,ED.N,OK,
EFX,EFX,8590932157,,EFX.N,OK,
EIX,EIX,8590943184,,EIX.N,OK,
EL,EL,8590941672,,EL.N,OK,
EMN,EMN,8590925752,,EMN.N,OK,
EMR,EMR,8590942507,,EMR.N,OK,
EOG,EOG,8590941254,,EOG.N,OK,
EQIX,EQIX.O,8590922532,,EQIX.OQ,OK,
EQR,EQR.PH^B09,8590930720,,EQR.N,OK,
EQT,EQT,8590936265,,EQT.N,OK,
ES,ESc1,21672325606,,,OK,
ESRX,ESRX.B^J07,8590943562,,ESRX.OQ;ESRX.OQ^L18,OK,
ESS,ESS,8590935565,,ESS.N,OK,
ETFC,ETFC.B^J07,8590934037,,ET.N;ETFC.OQ;ETFCD.OQ,OK,
ETN,ETN,8590940139,,ETN.N,OK,
ETR,ETR,8590939422,,ETR.N,OK,
EVHC,EVHC.W^E14,21525008001,,IPO-EVH;EVHC.K;EVHC.K^L16,OK,
EW,EW,8590930375,,EW.N,OK,
EXC,EXC.O,8590919944,,EXC.N,OK,
EXPD,EXPD.K,8590932614,,EXPD.OQ,OK,
EXPE,EXPE.O,8590934610,,EXPEV.OQ;EXPE.OQ,OK,
EXR,EXR,8590931695,,EXR.N,OK,
F,F,8590927344,,F.N,OK,
FAST,FAST.O,8590920326,,FAST.OQ,OK,
FB,FB,18040303962,,,OK,
FBHS,FBHS.W^E14,21475902241,,FBHS_w.N;FBHS.N,OK,
FCX,FCX,8590924442,,FCX.N,OK,
FDX,FDX,8590940535,,FDX.N,OK,
FE,FE,8590931898,,FE.N,OK,
FFIV,FFIV.O,8590920939,,FFIV.OQ,OK,
FIS,FIS,8590943338,,CEY.N;FIS.N,OK,
FISV,FISV.O,8590929105,,FISV.OQ,OK,
FITB,FITB.K,8590929019,,FITB.OQ,OK,
FL,FLc1,21825125482,,,OK,
FLIR,FLIR.B^J07,8590923434,,FLIR.OQ,OK,
FLR,FLR,8590942586,,FLR.N,OK,
FLS,FLS,8590943814,,FLS.N,OK,
FMC,FMC,8590932272,,FMC.N,OK,
FOXA,FOXA.O,25727381061,,FOXAV.OQ;FOXA.OQ,OK,
FRT,FRT,8590941730,,FRT.N,OK,
FTI,FTI,21605141577,,FTI.N,OK,
FTV,FTV,21588441414,,FTV_w.N;FTV.N,OK,
GD,GD,8590928888,,GD.N,OK,
GE,GE,8590942041,,GE.N,OK,
GILD,GILD.O,8590943500,,GILD.OQ,OK,
GIS,GIS,8590933269,,GIS.N,OK,
GLW,GLW,8590935083,,GLW.N,OK,
GM,GM,21475029760,,GM.N,OK,
GOOG,GOOG.O,21538366476,,GOOCV.OQ;GOOG.OQ,OK,
GOOGL,GOOGL.O,8590925559,,GOOG.OQ;GOOGL.OQ,OK,
GPC,GPC,8590943280,,GPC.N,OK,
GPN,GPN,8590940339,,GPN.N,OK,
GPS,1GPSZ1m,21848383697,,,OK,
GRMN,GRMN.K,8590943622,,GRMN.OQ,OK,
GS,GS,8590942442,,GS.N,OK,
GT,GT.O,8590931629,,GT.N;GT.OQ,OK,
GWW,GWW,8590937469,,GWW.N,OK,
HAL,HAL,8590930194,,HAL.N,OK,
HAS,HAS.O,8590939322,,HAS.N;HAS.OQ,OK,
HBAN,HBAN.O,8590927532,,HBAN.OQ,OK,
HBI,01HIBQ5,21828662358,,,OK,
HCA,HCA,21475752423,,HCA.N,OK,
HCP,HCP.B^J07,8590922900,,HCP.N,OK,
HD,HD,8590925665,,HD.N,OK,
HES,HES.PH^B09,8590922193,,AHC.N;HES.N,OK,
HIG,HIG,8590941149,,HIG.N,OK,
HII,HII,21475789382,,HII_w.N;HII.N,OK,
HLT,HLT,21529510964,,HLT.N,OK,
HOG,HOG,8590929636,,HDI.N;HOG.N,OK,
HOLX,HOLX.B^J07,8590933130,,HOLX.OQ,OK,
HON,HON.O,8590935517,,HON.N,OK,
HP,HP,8590931772,,HP.N,OK,
