ticker,RIC,price_obs,price_first,price_last
CDNS,CDNS.O,2640,2009-01-02,2019-06-28
CELG,CELG.B^J07,0,,
CERN,CERN.B^J07,0,,
CF,CF,2640,2009-01-02,2019-06-28
CFG,CFG,1199,2014-09-24,2019-06-28
CHD,CHD,2640,2009-01-02,2019-06-28
CHK,CHK.PH^B09,0,,
CHRW,CHRW.O,2640,2009-01-02,2019-06-28
CHTR,CHTR.O,2384,2009-12-02,2019-06-28
CI,CI,2640,2009-01-02,2019-06-28
CINF,CINF.O,2640,2009-01-02,2019-06-28
CL,CL,2640,2009-01-02,2019-06-28
CLX,CLX,2640,2009-01-02,2019-06-28
CMA,CMA.B^J07,0,,
CMCSA,CMCSA.O,2640,2009-01-02,2019-06-28
CME,CME.O,2640,2009-01-02,2019-06-28
CMG,CMG,2640,2009-01-02,2019-06-28
CMI,CMI,2640,2009-01-02,2019-06-28
CMS,CMS,2640,2009-01-02,2019-06-28
CNC,CNC,2640,2009-01-02,2019-06-28
CNP,CNP,2640,2009-01-02,2019-06-28
COF,COF,2640,2009-01-02,2019-06-28
COG,COG.B^J07,0,,
COL,OCL9SAJ8-J8,0,,
COO,COO.O,2640,2009-01-02,2019-06-28
COP,COP,2640,2009-01-02,2019-06-28
COST,COST.O,2640,2009-01-02,2019-06-28
COTY,COTY.K,1522,2013-06-13,2019-06-28
CPB,CPB.O,2640,2009-01-02,2019-06-28
CRM,CRM,2640,2009-01-02,2019-06-28
CSCO,CSCO.O,2640,2009-01-02,2019-06-28
CSRA,CSRA.K,0,,
CSX,CSX.O,2640,2009-01-02,2019-06-28
CTAS,CTAS.O,2640,2009-01-02,2019-06-28
CTL,CTL.W^E14,1057,2009-01-05,2014-04-25
CTSH,CTSH.O,2640,2009-01-02,2019-06-28
CTXS,CTXS.B^J07,0,,
CVS,CVS,2640,2009-01-02,2019-06-28
CVX,CVX,2640,2009-01-02,2019-06-28
CXO,CXO.PH^B09,0,,
D,D,2640,2009-01-02,2019-06-28
DAL,DAL,2640,2009-01-02,2019-06-28
DE,DE,2640,2009-01-02,2019-06-28
DFS,DFS.B^J07,0,,
DG,DG,2421,2009-11-13,2019-06-28
DGX,DGX,2640,2009-01-02,2019-06-28
DHI,DHI,2640,2009-01-02,2019-06-28
DHR,DHR,2640,2009-01-02,2019-06-28
DIS,DIS,2640,2009-01-02,2019-06-28
DISCA,DISCA.B^J07,0,,
DISCK,DISCK.A^H14,493,2010-07-15,2014-07-31
DISH,DISH.B^J07,0,,
DLR,DLR,2640,2009-01-02,2019-06-28
DLTR,DLTR.O,2640,2009-01-02,2019-06-28
DOV,DOV,2640,2009-01-02,2019-06-28
DRE,DRE.PH^B09,0,,
DRI,DRI,2640,2009-01-02,2019-06-28
DTE,DTE,2640,2009-01-02,2019-06-28
DUK,DUK,2640,2009-01-02,2019-06-28
DVA,DVA,2640,2009-01-02,2019-06-28
DVN,DVN,2640,2009-01-02,2019-06-28
DXC,DXC,2640,2009-01-02,2019-06-28
EA,EA.W^E14,1104,2009-01-02,2014-04-29
EBAY,EBAY.O,2640,2009-01-02,2019-06-28
ECL,ECL,2640,2009-01-02,2019-06-28
ED,ED,2640,2009-01-02,2019-06-28
EFX,EFX,2640,2009-01-02,2019-06-28
EIX,EIX,2640,2009-01-02,2019-06-28
EL,EL,2640,2009-01-02,2019-06-28
EMN,EMN,2640,2009-01-02,2019-06-28
EMR,EMR,2640,2009-01-02,2019-06-28
EOG,EOG,2640,2009-01-02,2019-06-28
EQIX,EQIX.O,2640,2009-01-02,2019-06-28
EQR,EQR.PH^B09,0,,
EQT,EQT,2640,2009-01-02,2019-06-28
ES,ESc1,2642,2009-01-02,2019-06-28
ESRX,ESRX.B^J07,0,,
ESS,ESS,2640,2009-01-02,2019-06-28
ETFC,ETFC.B^J07,0,,
ETN,ETN,2640,2009-01-02,2019-06-28
ETR,ETR,2640,2009-01-02,2019-06-28
EVHC,EVHC.W^E14,137,2013-08-28,2014-04-30
EW,EW,2640,2009-01-02,2019-06-28
EXC,EXC.O,2640,2009-01-02,2019-06-28
EXPD,EXPD.K,2640,2009-01-02,2019-06-28
EXPE,EXPE.O,2640,2009-01-02,2019-06-28
EXR,EXR,2640,2009-01-02,2019-06-28
F,F,2640,2009-01-02,2019-06-28
FAST,FAST.O,2640,2009-01-02,2019-06-28
FB,FB,0,,
FBHS,FBHS.W^E14,534,2011-10-05,2014-04-30
FCX,FCX,2640,2009-01-02,2019-06-28
FDX,FDX,2640,2009-01-02,2019-06-28
FE,FE,2640,2009-01-02,2019-06-28
FFIV,FFIV.O,2640,2009-01-02,2019-06-28
FIS,FIS,2640,2009-01-02,2019-06-28
FISV,FISV.O,2640,2009-01-02,2019-06-28
FITB,FITB.K,2640,2009-01-02,2019-06-28
FL,FLc1,0,,
FLIR,FLIR.B^J07,0,,
FLR,FLR,2640,2009-01-02,2019-06-28
FLS,FLS,2640,2009-01-02,2019-06-28
FMC,FMC,2640,2009-01-02,2019-06-28
FOXA,FOXA.O,77,2019-03-12,2019-06-28
FRT,FRT,2640,2009-01-02,2019-06-28
FTI,FTI,617,2017-01-17,2019-06-28
FTV,FTV,764,2016-06-13,2019-06-28
GD,GD,2640,2009-01-02,2019-06-28
