ticker,input_ric,instrument_id,organization_id,historical_rics,historical_ric_count,identity_change_flag,delisted_flag,legacy_ticker_flag,likely_corporate_action_flag,treatment,notes
CDNS,CDNS.O,8590924408.0,,CDN.N;CDNS.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
CELG,CELG.B^J07,8590941448.0,,CELG.OQ,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
CERN,CERN.B^J07,8590937215.0,,CERN.OQ,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
CF,CF,8590932260.0,,CF.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
CFG,CFG,21519861835.0,,IPO-CFG.N;CFG.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
CHD,CHD,8590943794.0,,CHD.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
CHK,CHK.PH^B09,8590933380.0,,0HWL.L,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
CHRW,CHRW.O,8590933299.0,,CHRW.OQ;CHRWD.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
CHTR,CHTR.O,21478822935.0,,CHTR.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
CI,CI,8590926501.0,,CI.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
CINF,CINF.O,8590939521.0,,CINF.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
CL,CL,8590926557.0,,CL.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
CLX,CLX,8590932077.0,,CLX.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
CMA,CMA.B^J07,8590920443.0,,CMA.N,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
CMCSA,CMCSA.O,8590935592.0,,CMCSA.OQ,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
CME,CME.O,8590932391.0,,CME.N;CME.OQ,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
CMG,CMG,8590932703.0,,CMG.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
CMI,CMI,8590942323.0,,CUM.N;CMI.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
CMS,CMS,8590942673.0,,CMS.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
CNC,CNC,8590939728.0,,CNTE.OQ;CNC.N,2,True,False,False,True,KEEP_HISTORICAL_ENTITY,
CNP,CNP,8590924211.0,,CNP.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
COF,COF,8590924744.0,,COF.N,1,True,False,False,False,KEEP_HISTORICAL_ENTITY,
COG,COG.B^J07,8590933415.0,,COG.N,1,True,True,False,True,KEEP_HISTORICAL_ENTITY,Expired/delisted or historical RIC detected; retain historical entity for sample validation
