ticker,rows,first_date,last_date,universe_source,status
CDNS,564406,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CELG,1895372,19960206,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CERN,766973,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CF,1930823,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CFG,85622,20141002,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CHD,281967,20020610,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CHK,1272185,19960108,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CHRW,758487,19980302,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CHTR,1289170,20110727,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CI,1248713,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CINF,284942,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CL,1490399,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CLX,892826,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CMA,800244,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CMCSA,1459915,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CME,2191016,20031118,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CMG,3572867,20060203,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CMI,1850575,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CMS,331393,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CNC,499191,20041115,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CNP,461994,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
COF,1729768,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
COG,842161,19980901,20190628,raw_options,PENDING_LSEG_RECONCILIATION
COL,383165,20010702,20181126,raw_options,PENDING_LSEG_RECONCILIATION
COO,631498,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
COP,1731808,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
COST,1801021,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
COTY,516880,20130621,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CPB,875531,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CRM,1851284,20040722,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CSCO,1955376,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CSRA,46012,20151201,20180403,raw_options,PENDING_LSEG_RECONCILIATION
CSX,1033757,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CTAS,487638,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CTL,920534,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CTSH,1502634,20020408,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CTXS,1093221,19960612,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CVS,1641485,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CVX,1891349,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
CXO,593647,20071025,20190628,raw_options,PENDING_LSEG_RECONCILIATION
D,633668,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DAL,1306590,20070504,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DE,1778482,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DFS,1211933,20070702,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DG,1418128,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DGX,603442,19970122,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DHI,1451543,19970312,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DHR,850508,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DIS,1839342,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DISCA,287553,20050722,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DISCK,204264,20090828,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DISH,1771859,19960507,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DLR,361457,20061127,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DLTR,1176543,19961023,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DOV,605958,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DRE,290161,19980513,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DRI,748302,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DTE,382607,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DUK,757776,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DVA,555326,19971029,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DVN,1529374,19960509,20190628,raw_options,PENDING_LSEG_RECONCILIATION
DXC,900013,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
EA,1791643,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
EBAY,1642807,19990201,20190628,raw_options,PENDING_LSEG_RECONCILIATION
ECL,614646,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
ED,788069,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
EFX,722327,19960104,20190628,raw_options,PENDING_LSEG_RECONCILIATION
