model,N,MSE_var_pct2,MAE_var_pct2,RMSE_var_pct2
GJR-GARCH,728814,226.64203814798483,3.4943261989576833,15.054635105109151
GARCH,728946,253.3499555030697,3.4719232852548787,15.916970676076202
ESG-EGARCH(E),687338,269.32362737639284,3.6370364899453578,16.411082455962276
ESG-GARCH(E),687294,271.0377182723485,3.7082338141762987,16.46322320423156
ESG-GJR-GARCH(E),687162,271.8780720108013,3.7456316789632425,16.488725602993135
ESG-EGARCH(S),687338,286.7701999553447,3.7535184164480504,16.934290654035223
ESG-GARCH(S),687294,289.40706235581393,3.8304470906831996,17.011968209346442
ESG-EGARCH(G),687338,291.07047434584456,3.783295461475051,17.060787623842124
ESG-GJR-GARCH(S),687162,291.1444708838672,3.8727834535652157,17.062956100390906
ESG-GJR-GARCH(G),687162,295.60936099056846,3.904758898504926,17.193294070380126
ESG-GARCH(G),687294,295.6932140120957,3.873984289555662,17.195732436046328
ESG-EGARCH,687338,316.98088334676885,3.955639390875813,17.80395695756336
ESG-GARCH,687294,319.36047567358895,4.030308745060711,17.87065963174244
ESG-GJR-GARCH,687162,320.6710296251191,4.070636389114425,17.907289845901282
EGARCH,728990,1386.6195041290562,3.557053017799579,37.23734018601565
