benchmark,esg_model,N,Tickers,Mean_diff_mispricing,Median_diff_mispricing,Mean_diff_abs,Median_diff_abs,Paired_t,p_t,Wilcoxon,p_wilcoxon
GARCH,ESG-GARCH,144050,336,0.07607765296414774,-0.027931732224030892,-0.05517027100745222,0.00041565196714075936,30.97839161456355,5.191152253688918e-210,3721018013.0,0.0
GARCH,ESG-GARCH(E),144050,336,0.08111437321004174,-0.028524089727139046,-0.0558620671632302,0.0006331277046266529,33.18014101621276,1.6947640476446518e-240,3687502227.0,0.0
GARCH,ESG-GARCH(G),144050,336,0.07354109063497276,-0.02952095627190876,-0.05467283214656873,0.0006943477874388794,30.237261620903794,3.263798893189421e-200,3643495278.0,0.0
GARCH,ESG-GARCH(S),144050,336,0.08020949306250147,-0.02812933233839987,-0.055590962208689955,0.0005878503263132551,32.863264428287565,5.539464004661479e-236,3715032386.0,0.0
GJR-GARCH,ESG-GJR-GARCH,143970,336,0.08007695109679719,-0.0350172847085482,-0.05902945614681079,0.0009340585048265918,31.242354841510362,1.4770202762185036e-213,3259637704.0,0.0
GJR-GARCH,ESG-GJR-GARCH(E),143970,336,0.08444235733034428,-0.0360018172271348,-0.059565518148155194,0.0011751331688087813,33.03509813657316,2.0009309102837885e-238,3232474215.0,0.0
GJR-GARCH,ESG-GJR-GARCH(G),143970,336,0.07627934269816515,-0.036630394023940235,-0.05817631319855877,0.0012094529480091015,29.95595739169174,1.4858524166292316e-196,3176516762.0,0.0
GJR-GARCH,ESG-GJR-GARCH(S),143970,336,0.08405042825028117,-0.03514355485534204,-0.05988962277657777,0.001452087944364442,32.954529078642736,2.806270939601296e-237,3245137596.0,0.0
EGARCH,ESG-EGARCH,143878,336,0.06707338770312513,-0.01988038820879494,-0.038960112710392,-0.0024965497675886383,30.199845989717797,1.0067964315684168e-199,4627935886.0,1.918552403830744e-264
EGARCH,ESG-EGARCH(E),143878,336,0.07193510377016471,-0.019796223966556142,-0.0399726295465922,-0.0021120159543825956,32.43634926255973,5.742653985839815e-230,4612994981.0,5.853780389557828e-279
EGARCH,ESG-EGARCH(G),143878,336,0.0634786195527286,-0.02117580778928215,-0.03838363739085543,-0.0026808475353805516,28.793140338286054,8.614697847715549e-182,4550939466.0,0.0
EGARCH,ESG-EGARCH(S),143878,336,0.07183019558762183,-0.0196012522579836,-0.03975520671211898,-0.002363097528932212,32.43783119847526,5.474798612865541e-230,4630510772.0,5.560663730125267e-262
