benchmark,esg_model,N,Tickers,Mean_diff_mispricing,Median_diff_mispricing,Mean_diff_abs,Median_diff_abs,Paired_t,p_t,Wilcoxon,p_wilcoxon,p_holm,p_t_holm
GARCH,ESG-GARCH,144050,336,0.0760776529641477,-0.0279317322240308,-0.0551702710074522,0.0004156519671407,30.97839161456355,5.191152253688918e-210,3721018013.0,0.0,0.0,2.595576126844459e-209
GARCH,ESG-GARCH(E),144050,336,0.0811143732100417,-0.028524089727139,-0.0558620671632302,0.0006331277046266,33.18014101621276,1.6947640476446518e-240,3687502227.0,0.0,0.0,2.0337168571735822e-239
GARCH,ESG-GARCH(G),144050,336,0.0735410906349727,-0.0295209562719087,-0.0546728321465687,0.0006943477874388,30.237261620903794,3.2637988931894214e-200,3643495278.0,0.0,0.0,1.3055195572757686e-199
GARCH,ESG-GARCH(S),144050,336,0.0802094930625014,-0.0281293323383998,-0.0555909622086899,0.0005878503263132,32.863264428287565,5.539464004661479e-236,3715032386.0,0.0,0.0,4.985517604195331e-235
GJR-GARCH,ESG-GJR-GARCH,143970,336,0.0800769510967971,-0.0350172847085482,-0.0590294561468107,0.0009340585048265,31.24235484151036,1.4770202762185036e-213,3259637704.0,0.0,0.0,8.862121657311021e-213
GJR-GARCH,ESG-GJR-GARCH(E),143970,336,0.0844423573303442,-0.0360018172271348,-0.0595655181481551,0.0011751331688087,33.03509813657316,2.0009309102837885e-238,3232474215.0,0.0,0.0,2.2010240013121674e-237
GJR-GARCH,ESG-GJR-GARCH(G),143970,336,0.0762793426981651,-0.0366303940239402,-0.0581763131985587,0.0012094529480091,29.95595739169174,1.4858524166292318e-196,3176516762.0,0.0,0.0,2.9717048332584636e-196
GJR-GARCH,ESG-GJR-GARCH(S),143970,336,0.0840504282502811,-0.035143554855342,-0.0598896227765777,0.0014520879443644,32.954529078642736,2.8062709396012955e-237,3245137596.0,0.0,0.0,2.8062709396012954e-236
EGARCH,ESG-EGARCH,143878,336,0.0670733877031251,-0.0198803882087949,-0.038960112710392,-0.0024965497675886,30.1998459897178,1.006796431568417e-199,4627935886.0,1.9185524038307439e-264,3.8371048076614877e-264,3.0203892947052507e-199
EGARCH,ESG-EGARCH(E),143878,336,0.0719351037701647,-0.0197962239665561,-0.0399726295465922,-0.0021120159543825,32.43634926255973,5.742653985839814e-230,4612994981.0,5.8537803895578275e-279,1.7561341168673482e-278,4.379838890292432e-229
EGARCH,ESG-EGARCH(G),143878,336,0.0634786195527286,-0.0211758077892821,-0.0383836373908554,-0.0026808475353805,28.79314033828605,8.614697847715549e-182,4550939466.0,0.0,0.0,8.614697847715549e-182
EGARCH,ESG-EGARCH(S),143878,336,0.0718301955876218,-0.0196012522579836,-0.0397552067121189,-0.0023630975289322,32.43783119847526,5.47479861286554e-230,4630510772.0,5.560663730125267e-262,5.560663730125267e-262,4.379838890292432e-229
