ivreg,model,count,mean,median
Low,EGARCH,49295,-0.448436,-0.186507
Low,ESG-EGARCH,47999,-0.451553,-0.186593
Low,ESG-EGARCH(E),47999,-0.450819,-0.188126
Low,ESG-EGARCH(G),47999,-0.460835,-0.189635
Low,ESG-EGARCH(S),47999,-0.450268,-0.186591
Low,ESG-GARCH,48045,-0.56815,-0.249676
Low,ESG-GARCH(E),48045,-0.567534,-0.25068
Low,ESG-GARCH(G),48045,-0.574925,-0.251829
Low,ESG-GARCH(S),48045,-0.56743,-0.249639
Low,ESG-GJR-GARCH,48009,-0.532302,-0.215997
Low,ESG-GJR-GARCH(E),48009,-0.532038,-0.217762
Low,ESG-GJR-GARCH(G),48009,-0.541751,-0.219796
Low,ESG-GJR-GARCH(S),48009,-0.531661,-0.216884
Low,GARCH,49341,-0.56866,-0.243149
Low,GJR-GARCH,49305,-0.52552,-0.197238
Medium,EGARCH,49022,-0.224674,-0.058102
Medium,ESG-EGARCH,48057,-0.180507,-0.046093
Medium,ESG-EGARCH(E),48057,-0.172788,-0.043995
Medium,ESG-EGARCH(G),48057,-0.179836,-0.044857
Medium,ESG-EGARCH(S),48057,-0.177105,-0.04382
Medium,ESG-GARCH,48100,-0.273283,-0.080666
Medium,ESG-GARCH(E),48100,-0.2651,-0.079817
Medium,ESG-GARCH(G),48100,-0.272521,-0.081271
Medium,ESG-GARCH(S),48100,-0.270882,-0.080299
Medium,ESG-GJR-GARCH,48091,-0.282406,-0.090295
Medium,ESG-GJR-GARCH(E),48091,-0.274926,-0.089571
Medium,ESG-GJR-GARCH(G),48091,-0.281829,-0.090236
Medium,ESG-GJR-GARCH(S),48091,-0.279958,-0.089994
Medium,GARCH,49066,-0.328226,-0.088196
Medium,GJR-GARCH,49057,-0.327959,-0.08172
High,EGARCH,49856,0.315875,0.241006
High,ESG-EGARCH,47822,0.502246,0.302772
High,ESG-EGARCH(E),47822,0.50838,0.302505
High,ESG-EGARCH(G),47822,0.500074,0.299153
High,ESG-EGARCH(S),47822,0.511849,0.303394
High,ESG-GARCH,47905,0.455047,0.278444
High,ESG-GARCH(E),47905,0.461358,0.278367
High,ESG-GARCH(G),47905,0.453449,0.274079
High,ESG-GARCH(S),47905,0.464338,0.279428
High,ESG-GJR-GARCH,47870,0.412561,0.243583
High,ESG-GJR-GARCH(E),47870,0.417911,0.243869
High,ESG-GJR-GARCH(G),47870,0.410038,0.240017
High,ESG-GJR-GARCH(S),47870,0.42141,0.243959
High,GARCH,49961,0.255093,0.223375
High,GJR-GARCH,49926,0.178504,0.17633
