model,N,Tickers,IV_mean,Forecast_mean,Gap_mean,Gap_median,Gap_std,Gap_q05,Gap_q95,Corr_IV_Forecast
EGARCH,204866,342,0.25069289308702597,0.25102797540332783,0.00033508231630184735,0.0028148451943572498,0.07655534950775941,-0.10923054767579048,0.10182882766472963,0.6716609934343447
ESG-EGARCH,199048,342,0.25010268089439064,0.24661832317091198,-0.003484357723478625,0.0013902171684489501,0.0695529000813037,-0.11263052207426168,0.09313028524867166,0.6812437221784703
ESG-EGARCH(E),199048,342,0.25010268089439064,0.24662095891961336,-0.00348172197477727,0.00138621914369705,0.0694894802787763,-0.11263314742338844,0.09310623886564282,0.6815639649871661
ESG-EGARCH(G),199048,342,0.25010268089439064,0.24685683945926556,-0.00324584143512506,0.0015058414729802,0.06951633812968518,-0.11218767172396077,0.0934352800159566,0.6811863711602736
ESG-EGARCH(S),199048,342,0.25010268089439064,0.24663090818383593,-0.0034717727105547033,0.0013777490692815498,0.06973668072360072,-0.11245814073276952,0.09324083732819761,0.6791544585180769
ESG-GARCH,199298,342,0.250158365471137,0.2509668371068613,0.0008084716357242867,0.00408412184659405,0.07083136062576512,-0.10888689488285326,0.10281806519761495,0.6706757055729698
ESG-GARCH(E),199298,342,0.250158365471137,0.2509238941235081,0.0007655286523710406,0.0040569252444063,0.07091419889499145,-0.1089988997776172,0.10283863647371898,0.669720419530804
ESG-GARCH(G),199298,342,0.250158365471137,0.2511838098147428,0.0010254443436057898,0.0041799585485333,0.07084621883812421,-0.10847751663652651,0.10305243769796787,0.6702249062229161
ESG-GARCH(S),199298,342,0.250158365471137,0.2510980951461195,0.0009397296749824956,0.00411499840813725,0.07096424057395251,-0.10847237833028336,0.1029336313416995,0.6689205377110233
ESG-GJR-GARCH,199192,342,0.2501522297138774,0.2513329500477693,0.0011807203338918993,0.0042215875655179005,0.07225313705088093,-0.1109133696313908,0.10695258563085422,0.663475234463928
ESG-GJR-GARCH(E),199192,342,0.2501522297138774,0.25134471225313176,0.0011924825392543453,0.0042492896960039505,0.07220346394626101,-0.1108951969925491,0.10699135935644703,0.663623013197021
ESG-GJR-GARCH(G),199192,342,0.2501522297138774,0.25167460587962565,0.0015223761657482647,0.0043828511814807,0.07212743072400671,-0.11031471065196292,0.10734530667432093,0.6639846154820773
ESG-GJR-GARCH(S),199192,342,0.2501522297138774,0.2514606790417924,0.0013084493279150093,0.004252044224599551,0.07236225045947203,-0.11060214782840615,0.10723023781908932,0.6618690404367162
GARCH,205159,342,0.25075511604739087,0.25658689605417934,0.005831780006788486,0.0051415670703109,0.08265967343596388,-0.10613008146733252,0.11529385978044476,0.6434568866623124
GJR-GARCH,205053,342,0.2507494641515446,0.257829594708669,0.007080130557124481,0.0048598732201865,0.0880151264956581,-0.10714364729473037,0.12183198870293646,0.6332867257993472
