ticker,secid,file,option_rows,option_min,option_max,overlap_dates,overlap_rows,valid_iv_rows,valid_mid_rows,valid_forward_rows,valid_pricing_rows,calls,puts,atm_valid_rows,valid_pricing_dates,oos_dates,oos_rows
CDNS,102602,CDNS_102602_options.csv,1078317,2010-01-04,2019-06-28,2382,1077417,903771,1077417,1062777,903771,538707,538710,46791,2382,2333,30569
CF,124758,CF_124758_options.csv,400934,2017-01-03,2019-06-28,626,400934,350302,400934,400811,350302,200467,200467,27592,626,2091,30045
CFG,205457,CFG_205457_options.csv,49644,2017-01-03,2019-06-28,626,49644,40755,49644,49351,40755,24822,24822,1736,626,917,13755
CHD,103016,CHD_103016_options.csv,55873,2017-01-03,2019-06-28,626,55873,46624,55873,55504,46624,27937,27936,2833,626,2091,30045
CHRW,102524,CHRW_102524_options.csv,172286,2017-01-03,2019-06-28,626,172286,154408,172286,172201,154408,86143,86143,9996,626,2333,33675
CHTR,139906,CHTR_139906_options.csv,817649,2017-01-03,2019-06-28,626,817649,707244,817649,785451,707244,408825,408824,56510,626,1841,26295
CI,102525,CI_102525_options.csv,2855064,2010-01-04,2019-06-28,2382,2850792,2419740,2850786,2753955,2419734,1425393,1425399,161931,2382,2333,30735
CINF,103029,CINF_103029_options.csv,75008,2017-01-03,2019-06-28,626,75008,54900,75008,70127,54900,37504,37504,3299,626,2333,33675
CL,103157,CL_103157_options.csv,474709,2017-01-03,2019-06-28,626,474709,416066,474709,473561,416066,237354,237355,49371,626,2333,33675
CLX,103106,CLX_103106_options.csv,288576,2017-01-03,2019-06-28,626,288576,244340,288576,288442,244340,144288,144288,23596,626,2333,33675
CMCSA,103198,CMCSA_103198_options.csv,450512,2017-01-03,2019-06-28,626,450512,385507,450512,450058,385507,225255,225257,32525,626,2333,33675
CME,116532,CME_116532_options.csv,458652,2017-01-03,2019-06-28,626,458652,386738,458652,458095,386738,229327,229325,35829,626,2333,33675
CMG,125504,CMG_125504_options.csv,1124737,2017-01-03,2019-06-28,626,1124737,1002370,1124673,1115373,1002309,562368,562369,73068,626,2091,30023
CMI,103574,CMI_103574_options.csv,480521,2017-01-03,2019-06-28,626,480521,418409,480521,480473,418409,240260,240261,36604,626,2333,33653
CMS,102536,CMS_102536_options.csv,49716,2017-01-03,2019-06-28,626,49716,38435,49716,48675,38435,24858,24858,2074,626,2333,33675
CNC,113430,CNC_113430_options.csv,158861,2017-01-03,2019-06-28,626,158861,145279,158861,158800,145279,79430,79431,7191,626,1348,15996
CNP,109557,CNP_109557_options.csv,110346,2017-01-03,2019-06-28,626,110346,92657,110346,110309,92657,55173,55173,6559,626,2333,33675
COF,102702,COF_102702_options.csv,524206,2017-01-03,2019-06-28,626,524206,460420,524206,524036,460420,262102,262104,59598,626,2333,33675
COO,103400,COO_103400_options.csv,140082,2017-01-03,2019-06-28,626,140082,116491,140082,135557,116491,70041,70041,5715,626,2333,33565
COP,108969,COP_108969_options.csv,425865,2017-01-03,2019-06-28,626,425865,370468,425865,425857,370468,212933,212932,34738,626,2333,33675
COST,103466,COST_103466_options.csv,568642,2017-01-03,2019-06-28,626,568642,493476,568642,568480,493476,284323,284319,36654,626,2091,30045
COTY,166723,COTY_166723_options.csv,358000,2017-01-03,2019-06-28,626,358000,278426,358000,355266,278426,178999,179001,12975,626,1102,11976
