model,horizon,days,mean_daily_pnl,std_daily_pnl,ann_mean_pnl,ann_vol_pnl,sharpe_like,cum_pnl,max_drawdown
EGARCH,10,2108,4.245859264579616,20.174846980208176,1069.9565346740633,320.2657670904797,3.3408395296016296,8950.271329733834,-289.18035460850933
EGARCH,20,1936,1.5349882080347654,18.040763603784942,386.8170284247609,286.38824374392215,1.350673558969964,2971.737170755306,-402.3703253560402
EGARCH,5,1997,5.069276131234111,16.036676179109953,1277.457585070996,254.5743421559907,5.018013890371687,10123.34443407451,-212.82321345328546
ESG-EGARCH,10,1922,3.9925715386380354,21.36864292473896,1006.1280277367849,339.2166902027952,2.966033384546284,7673.722497262299,-295.4777550206395
ESG-EGARCH,20,1769,1.2649106561165546,13.577519936985906,318.75748534137176,215.53644704571647,1.4789029405952931,2237.626950670184,-340.5112507053185
ESG-EGARCH,5,1817,4.97067235237795,16.97580942031856,1252.6094327992435,269.48262018114275,4.648201178826507,9031.711664270735,-235.4232527906288
ESG-EGARCH(E),10,1925,4.096258043843113,21.287582881380168,1032.2570270484644,337.9299019068463,3.0546483789203602,7885.296734397989,-296.0422063406686
ESG-EGARCH(E),20,1760,1.2569628630526295,13.498532191123177,316.7546414892626,214.28255545267035,1.4782101175717302,2212.2546389726285,-340.6921141104335
ESG-EGARCH(E),5,1822,5.10480476947412,17.009956126864168,1286.4108019074781,270.02468234281224,4.764048940808692,9300.954289981846,-161.12213824897572
ESG-EGARCH(G),10,1931,4.0439388913503995,21.38346669458665,1019.0726006203007,339.4520102538519,3.0021109607163887,7808.845999197625,-295.896355796247
ESG-EGARCH(G),20,1788,1.2615674831108037,13.448503797277766,317.9150057439225,213.48837932102865,1.4891443119995984,2255.6826598021175,-340.912357276432
ESG-EGARCH(G),5,1826,5.014676516763741,17.023908558041192,1263.6984822244626,270.24617032128714,4.676101351305335,9156.799319610596,-236.6968574172779
ESG-EGARCH(S),10,1932,4.090170921492739,21.354290970588938,1030.72307221617,338.9888599937426,3.0405809566579745,7902.210220323974,-296.6141099201618
ESG-EGARCH(S),20,1785,1.2345997840717993,13.402518125807807,311.1191455860934,212.7583794175377,1.4623120670397802,2203.7606145681607,-340.93680861510734
ESG-EGARCH(S),5,1827,5.076600622721712,17.035759523601676,1279.3033569258716,270.4342985673013,4.730551426735907,9274.949337712575,-159.92129981110702
ESG-GARCH,10,1942,3.932011310446069,21.23492619976833,990.8668502324094,337.09400300038135,2.939437787124586,7635.965964886262,-314.33742120555826
ESG-GARCH,20,1773,1.188406069240179,13.75277768353273,299.47832944852513,218.31857752191937,1.3717491788735077,2107.0439607628387,-349.0152420144633
ESG-GARCH,5,1855,4.949124881503711,16.415620602043052,1247.1794701389351,260.5898983787659,4.785985481011114,9180.626655189382,-251.72773232403188
ESG-GARCH(E),10,1946,4.019942647003661,21.517372641207903,1013.0255470449225,341.577701256847,2.965725055580209,7822.808391069127,-312.1396773351139
