ticker,RIC,Date,model,forecast_vol,forecast_var_pct2,esg_spec,refit_date
PSX,PSX,2013-04-24,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-04-24,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-04-24,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-04-25,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-04-25,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-04-25,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-04-26,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-04-26,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-04-26,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-04-29,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-04-29,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-04-29,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-04-30,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-04-30,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-04-30,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-01,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-01,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-01,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-02,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-02,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-02,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-03,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-03,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-03,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-06,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-06,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-06,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-07,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-07,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-07,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-08,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-08,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-08,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-09,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-09,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-09,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-10,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-10,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-10,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-13,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-13,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-13,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-14,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-14,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-14,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-15,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-15,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-15,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-16,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-16,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-16,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-17,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-17,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-17,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-20,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-20,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-20,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
PSX,PSX,2013-05-21,EGARCH,0.2582697745019995,2.646955413544195,,2013-04-24
PSX,PSX,2013-05-21,GARCH,0.3204945520149481,4.076061820288188,,2013-04-24
PSX,PSX,2013-05-21,GJR-GARCH,0.3443838783655142,4.7063593523044975,,2013-04-24
