ticker,RIC,Date,model,forecast_vol,forecast_var_pct2,esg_spec,refit_date
PYPL,PYPL.O,2016-07-14,EGARCH,0.2543475349513416,2.56716938634222,,2016-07-14
PYPL,PYPL.O,2016-07-14,ESG-EGARCH,0.2532345170175547,2.5447508178219915,all,2016-07-14
PYPL,PYPL.O,2016-07-14,ESG-EGARCH(E),0.2532345170175547,2.5447508178219915,E,2016-07-14
PYPL,PYPL.O,2016-07-14,ESG-EGARCH(G),0.2532345170175547,2.544750817821992,G,2016-07-14
PYPL,PYPL.O,2016-07-14,ESG-EGARCH(S),0.2532345170175547,2.5447508178219915,S,2016-07-14
PYPL,PYPL.O,2016-07-14,ESG-GARCH,0.3118993628287969,3.860365576706726,all,2016-07-14
PYPL,PYPL.O,2016-07-14,ESG-GARCH(E),0.311899362828797,3.860365576706729,E,2016-07-14
PYPL,PYPL.O,2016-07-14,ESG-GARCH(G),0.311899362828797,3.860365576706728,G,2016-07-14
PYPL,PYPL.O,2016-07-14,ESG-GARCH(S),0.311899362828797,3.860365576706729,S,2016-07-14
PYPL,PYPL.O,2016-07-14,ESG-GJR-GARCH,0.2891159797498299,3.3169861010596864,all,2016-07-14
PYPL,PYPL.O,2016-07-14,ESG-GJR-GARCH(E),0.2891159797498298,3.316986101059682,E,2016-07-14
PYPL,PYPL.O,2016-07-14,ESG-GJR-GARCH(G),0.2891159797498299,3.316986101059684,G,2016-07-14
PYPL,PYPL.O,2016-07-14,ESG-GJR-GARCH(S),0.2891159797498298,3.316986101059682,S,2016-07-14
PYPL,PYPL.O,2016-07-14,GARCH,0.3066707694809045,3.732022256111512,,2016-07-14
PYPL,PYPL.O,2016-07-14,GJR-GARCH,0.2828192388244736,3.1740762638593103,,2016-07-14
PYPL,PYPL.O,2016-07-15,EGARCH,0.2543475349513416,2.56716938634222,,2016-07-14
PYPL,PYPL.O,2016-07-15,ESG-EGARCH,0.2532345170175547,2.5447508178219915,all,2016-07-14
PYPL,PYPL.O,2016-07-15,ESG-EGARCH(E),0.2532345170175547,2.5447508178219915,E,2016-07-14
PYPL,PYPL.O,2016-07-15,ESG-EGARCH(G),0.2532345170175547,2.544750817821992,G,2016-07-14
